city_name,original_data,address,latitude,longitude
Riverside,"Riverside, Riverside County, California, United States","Riverside, Riverside County, California, United States",33.9533546,33.9533546
Carson City,"Carson City, Nevada, United States","Carson City, Nevada, United States",39.1698022,39.1698022
Chengdu,"成都市, 四川省, 中国","成都市, 四川省, 中国",30.6598628,30.6598628
Wood Dale,"Wood Dale, DuPage County, Illinois, 60191, United States","Wood Dale, DuPage County, Illinois, 60191, United States",41.9633625,41.9633625
Hohhot,"呼和浩特市, 内蒙古自治区, 中国","呼和浩特市, 内蒙古自治区, 中国",40.8337963,40.8337963
Wiesbaden,"Wiesbaden, Hessen, Deutschland","Wiesbaden, Hessen, Deutschland",50.0820384,50.0820384
Utrecht,"Utrecht, Nederland","Utrecht, Nederland",52.080985600000005,52.080985600000005
Las Vegas,"Las Vegas, Clark County, Nevada, United States","Las Vegas, Clark County, Nevada, United States",36.1672559,36.1672559
Basingstoke,"Basingstoke, Basingstoke and Deane, Hampshire, England, United Kingdom","Basingstoke, Basingstoke and Deane, Hampshire, England, United Kingdom",51.262826,51.262826
Amsterdam,"Amsterdam, Noord-Holland, Nederland","Amsterdam, Noord-Holland, Nederland",52.3727598,52.3727598
Thousand Oaks,"Thousand Oaks, Ventura County, California, United States","Thousand Oaks, Ventura County, California, United States",34.1705609,34.1705609
Cambridge,"Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom","Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom",52.197584649999996,52.197584649999996
Val-D'or,"Val-d'Or, La Vallée-de-l'Or, Abitibi-Témiscamingue, Québec, Canada","Val-d'Or, La Vallée-de-l'Or, Abitibi-Témiscamingue, Québec, Canada",48.1023356,48.1023356
Vancouver,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada","Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,49.2608724
Oslo,"Oslo, Norge","Oslo, Norge",59.9133301,59.9133301
Tel Aviv-Yafo,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל",32.0852997,32.0852997
Zurich,"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",47.3744489,47.3744489
Paris,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8588897,48.8588897
Mandaluyong City,"Mandaluyong, Eastern Manila District, Metro Manila, Pilipinas / Philippines","Mandaluyong, Eastern Manila District, Metro Manila, Pilipinas / Philippines",14.5776485,14.5776485
Gastonia,"Gastonia, Gaston County, North Carolina, United States","Gastonia, Gaston County, North Carolina, United States",35.2622654,35.2622654
Edmond,"Edmond, Oklahoma County, Oklahoma, United States","Edmond, Oklahoma County, Oklahoma, United States",35.6571367,35.6571367
Montreal,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.5031824,45.5031824
Edmundston,"Edmundston, Madawaska County, New Brunswick / Nouveau-Brunswick, E3V 1H7, Canada","Edmundston, Madawaska County, New Brunswick / Nouveau-Brunswick, E3V 1H7, Canada",47.364409,47.364409
Fishers,"Fishers, Hamilton County, Indiana, United States","Fishers, Hamilton County, Indiana, United States",39.9555928,39.9555928
Clearwater,"Clearwater, Pinellas County, Florida, United States","Clearwater, Pinellas County, Florida, United States",27.9658533,27.9658533
Plymouth Meeting,"Plymouth Meeting, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States","Plymouth Meeting, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States",40.102332,40.102332
Toronto,"Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,43.6534817
Lake Zurich,"Lake Zurich, Lake County, Illinois, United States","Lake Zurich, Lake County, Illinois, United States",42.1969689,42.1969689
Issy-les-Moulineaux,"Issy-les-Moulineaux, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92130, France","Issy-les-Moulineaux, Boulogne-Billancourt, Hauts-de-Seine, Île-de-France, France métropolitaine, 92130, France",48.8250508,48.8250508
Jakarta,"Daerah Khusus Ibukota Jakarta, Indonesia","Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,-6.1753942
Burr Ridge,"Burr Ridge, DuPage County, Illinois, 65027, United States","Burr Ridge, DuPage County, Illinois, 65027, United States",41.7502971,41.7502971
Newton,"Newton County, Texas, United States","Newton County, Texas, United States",30.8118989,30.8118989
New Taipei City,"保長國小, 553, 大同路三段, 保安里, 汐止區, 新北市, 22173, 臺灣","保長國小, 553, 大同路三段, 保安里, 汐止區, 新北市, 22173, 臺灣",25.072134249999998,25.072134249999998
New York,"City of New York, New York, United States","City of New York, New York, United States",40.7127281,40.7127281
Luxembourg,Lëtzebuerg,Lëtzebuerg,49.8158683,49.8158683
Coral Gables,"Coral Gables, Miami-Dade County, Florida, United States","Coral Gables, Miami-Dade County, Florida, United States",25.72149,25.72149
Fremont,"Fremont, Alameda County, California, United States","Fremont, Alameda County, California, United States",37.5482697,37.5482697
Farmington,"Farmington, Dakota County, Minnesota, 55024, United States","Farmington, Dakota County, Minnesota, 55024, United States",44.6402434,44.6402434
Gettysburg,"Gettysburg, Adams County, Pennsylvania, United States","Gettysburg, Adams County, Pennsylvania, United States",39.8308973,39.8308973
Auckland,"Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa","Auckland, Waitematā, Auckland, 1010, New Zealand / Aotearoa",-36.852095,-36.852095
Hayward,"Hayward, Alameda County, California, United States","Hayward, Alameda County, California, United States",37.6688205,37.6688205
Madrid,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España","Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España",40.4167047,40.4167047
London,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5073219,51.5073219
Shelton,"Shelton, Fairfield County, Connecticut, 06484, United States","Shelton, Fairfield County, Connecticut, 06484, United States",41.3164856,41.3164856
Palatine,"Palatine, Palatine Township, Cook County, Illinois, United States","Palatine, Palatine Township, Cook County, Illinois, United States",42.1105779,42.1105779
Guangzhou,"广州市, 广东省, 中国","广州市, 广东省, 中国",23.1301964,23.1301964
Saratoga Springs,"City of Saratoga Springs, Saratoga County, New York, 12866, United States","City of Saratoga Springs, Saratoga County, New York, 12866, United States",43.0821793,43.0821793
Westport,"Westport, Fairfield County, Connecticut, 06880, United States","Westport, Fairfield County, Connecticut, 06880, United States",41.1414855,41.1414855
Brescia,"Brescia, Lombardia, Italia","Brescia, Lombardia, Italia",45.77958045,45.77958045
Saskatoon,"Saskatoon, Saskatchewan, Canada","Saskatoon, Saskatchewan, Canada",52.131802,52.131802
