"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,15596.64,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15656.66,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,15826.46,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,16949.05,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,17689.83,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,17524.61,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18519.08,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,18153.25,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,19004.28,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,19181.15,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,18702.89,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,18390.94,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,18297.85,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,18264.51,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,18317.61,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,19374.82,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,19520.1,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,20055.24,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,20388.79,,
"IRL","Ireland","PPP","In 2020 constant prices at 2020 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,21083.47,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,9746.97,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,9647.98,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,9553.98,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,9463.29,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,9977.96,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,10388.11,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,10661.37,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,10771.68,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,11234.9,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,11200.75,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,10992.66,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,10730.2,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,10645.5,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,10661.59,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,10770.01,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,10899.7,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,11549.32,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,11811.67,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,14345.23,,
"ESP","Spain","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,15191.21,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,22774.28,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,22998.63,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,23298.72,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,23707.64,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,23899.87,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,23534.04,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,24314.55,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,23888.7,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,24196.01,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,24074.45,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,24256.61,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,24586.97,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,24659.83,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,24736.85,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,25038.59,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,25328.81,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25554.73,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,25928.02,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,26344.97,,
"AUS","Australia","EXR","In 2020 constant prices at 2020 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,26743.1,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,6.77,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,6.7,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,6.64,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,6.81,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,7.12,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,7.26,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,7.46,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,7.54,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,7.86,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,7.83,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,7.68,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,7.5,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,7.44,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,7.45,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.53,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.62,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,8.07,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,8.26,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,10.02,,
"ESP","Spain","PPP","In 2020 constant prices at 2020 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,10.63,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,1.03,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,1.1,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,1.17,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,1.53,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,1.6,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,1.58,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,1.57,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,1.55,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,1.59,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,1.6,,
"TUR","Türkiye","EXR","In 2020 constant prices at 2020 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,1.65,,
