,commit_hash,filename,old_path,new_path,added_lines,deleted_lines
0,ace05ee8918dba8f6841d313769029256684f2b4,README.md,,README.md,6,0
1,ed7a068435e461427a96e07d7ba9e5bd09c1e41a,etl_pipeline-subways.ipynb,,subways_etl\etl_pipeline-subways.ipynb,1810,0
2,d831ea0014d1a110349635d00248c1b4d00285ae,subways_list.xlsx,subways_etl\data\subways_list.xlsx,subways_etl\data\subways_list.xlsx,0,0
3,57a4014a93a97ecd918ce8fd49879ac0ec959825,logfile.txt,subways_etl\logs\logfile.txt,subways_etl\logs\logfile.txt,0,0
4,050f7c376c623eb5c8bd6ce99fe4248bc06c51a3,config.ini,adult_dataset\cfg\config.ini,adult_dataset\cfg\config.ini,0,0
5,09e4c841dc7b926d85be7194dbcf3feb6a459677,adult_dataset.xlsx,adult_dataset\data\adult_dataset.xlsx,adult_dataset\data\adult_dataset.xlsx,0,0
6,d094952e383b4193e99d55812bb597efaa03b449,.gitignore,,.gitignore,7,0
7,db7528429a97b156e25214d061d93b857edf8b79,python_to_gsheets.ipynb,,adult_dataset\python_to_gsheets.ipynb,1,0
8,f7e16bf0ce082f46fb22188c295397061ded770a,python_to_gsheets.ipynb,adult_dataset\python_to_gsheets.ipynb,adult_dataset\python_to_gsheets.ipynb,723,1
9,2e117581a59c94d3aaf4ad305df5b20aa6dc5582,python_to_gsheets.ipynb,adult_dataset\python_to_gsheets.ipynb,adult_dataset\python_to_gsheets.ipynb,1,723
10,a782478b32f3a7ce07ea2ad0bd74f5ddba3525f5,google_sheets_formulas.txt,,adult_dataset\google_sheets_formulas.txt,50,0
11,6e43b40eb4a7bfc4f74666086ccd7bc5ac8a6409,scheduled_script.ipynb,,running_scheduled_py_scripts\scheduled_script.ipynb,4494,0
12,63d367d6f965ae1fc562da82c5ffccae060348bd,fibonacci_series.ipynb,,fibonacci_series\fibonacci_series.ipynb,368,0
13,4f4516d6c2e5f176dbb172d2bc9208ee9bfe7ee8,sklearn_toy_datasets.ipynb,,sklearn_datasets\sklearn_toy_datasets.ipynb,824,0
14,7a457c077f511017c9970b7d68bc089c190b30f0,UEFA_winners_Analysis.ipynb,,ucl_winners_analysis\UEFA_winners_Analysis.ipynb,726,0
15,2e00b3c4eb8939440c419db2d670003a0874fc6e,uefa_champions_winners.csv,,ucl_winners_analysis\data\uefa_champions_winners.csv,68,0
16,e3d6906500fb8b613a8a2b72350c1c6a86aa835a,bollinger_bands_calc.ipynb,,bollinger_bands\bollinger_bands_calc.ipynb,543,0
17,90d8926c710109b925dce3a2b69eb9ce91e354f7,requirements.txt,,bollinger_bands\requirements.txt,3,0
18,d0ba8704574270607e43b6a4d33353f4346c37cc,tsla_data.csv,,bollinger_bands\data\tsla_data.csv,378,0
19,52e5a26e7f7cdfcdcdf51babde0e54a6e0a5a4ed,tsla_data.csv,bollinger_bands\data\tsla_data.csv,bollinger_bands\data\tsla_data.csv,378,378
20,d20a01877879ab15fbf09f75ec462054386ae914,bollinger_bands_calc.ipynb,bollinger_bands\bollinger_bands_calc.ipynb,bollinger_bands\bollinger_bands_calc.ipynb,29,37
21,b3b62b7fcd12743eeb95c6fa0ea36706e4be2dbf,bollinger_bands_v2022.1.twbx,bollinger_bands\data\bollinger_bands_v2022.1.twbx,bollinger_bands\data\bollinger_bands_v2022.1.twbx,0,0
22,9f4e04ec0c5ccf1300b81cbb60ab3e0df4ebeba1,uy_names_1940_2010.xlsx,uy_strange_names\data\uy_names_1940_2010.xlsx,uy_strange_names\data\uy_names_1940_2010.xlsx,0,0
23,e23317bf6f07b4b346c440192eba2709d1406c98,python_requests-checkpoint.ipynb,,postman_requests\.ipynb_checkpoints\python_requests-checkpoint.ipynb,297,0
24,e23317bf6f07b4b346c440192eba2709d1406c98,postman_vs_requests.png,postman_requests\img\postman_vs_requests.png,postman_requests\img\postman_vs_requests.png,0,0
25,e23317bf6f07b4b346c440192eba2709d1406c98,python_requests.ipynb,,postman_requests\python_requests.ipynb,297,0
26,7b003f369a34f2edcc0cbc47939ce62b241a203b,python_requests.ipynb,postman_requests\python_requests.ipynb,postman_requests\python_requests.ipynb,3123,89
27,a4ee8cbfd17a93a467778893b830e7fd894f619a,final_df.csv,,geopy\data\final_df.csv,51,0
28,d656d76bb19f749eea45e93a26b033e88797a366,goepy_analisys.ipynb,,geopy\goepy_analisys.ipynb,335,0
29,6c8d2bd6c3192f5517ff3e1c87b990c72987f471,fibonacci_series.ipynb,,fibonacci\fibonacci_series.ipynb,323,0
30,071a4e3e7b999354ffc5b7b33855c6f684665e29,real_wage_data_in_pandas.ipynb,,pandas_panel_data\real_wage_data_in_pandas.ipynb,6199,0
31,e1182c67857766b22fd21a7ba59e8c4a92911826,real_wage_data_in_pandas.ipynb,pandas_panel_data\real_wage_data_in_pandas.ipynb,pandas_panel_data\real_wage_data_in_pandas.ipynb,3025,2877
32,6a81b14476a4fd27eebcd701c2adf225fbbd70e7,real_wage_data_in_pandas.ipynb,pandas_panel_data\real_wage_data_in_pandas.ipynb,pandas_panel_data\real_wage_data_in_pandas.ipynb,139,40
33,17af4fdabe0729080038f844349a71a7dbf4d13d,countries.csv,,pandas_panel_data\data\countries.csv,249,0
34,b84a050649a2c227e6d95537a3ae4f67b87044d0,real_minimum_wages.csv,,pandas_panel_data\data\real_minimum_wages.csv,2505,0
35,53ea7882517a332446acee851595f5f76dfef9f6,README.md,,setting_wsl\README.md,6,0
36,5785ae0452f5472b445f639a00f5cc7353195622,README.md,setting_wsl\README.md,setting_wsl\README.md,38,0
37,608685e755af565f2ab73d417b0267497030a7f8,pyspark_analisys.ipynb,starting_with_pyspark\pyspark_analisys.ipynb,starting_with_pyspark\pyspark_analisys.ipynb,0,0
38,12aece11a2cf7cb531321d4ad85a6eba9eac4068,analyzing_data_pyspark.ipynb,,pyspark\analyzing_data_pyspark.ipynb,791,0
39,e5e1c20125f921d358ea427ac8cd462929707e16,juggling_twitter_api_data.ipynb,,pyspark\juggling_twitter_api_data.ipynb,760,0
40,5a58a2d767cd0ba5627d02665414a869011866bf,pandas_udf.py,,pyspark\functions\pandas_udf.py,37,0
41,04f154c1e49c0ab71ed3f6fcecd23d4d2cf6d79b,managing_s3_data.ipynb,,managing_s3_and_athena\managing_s3_data.ipynb,101,0
42,a2db0f583400fc2c75cedd4f479654ae729cff5e,managing_s3_data.ipynb,managing_s3_and_athena\managing_s3_data.ipynb,managing_s3_and_athena\managing_s3_data.ipynb,493,31
43,158dd8ac5e50ab9d28f34a9f1a8753efda0be53a,AAPL.csv,,managing_s3_and_athena\AAPL.csv,235,0
44,158dd8ac5e50ab9d28f34a9f1a8753efda0be53a,GOOGL.csv,,managing_s3_and_athena\GOOGL.csv,235,0
45,158dd8ac5e50ab9d28f34a9f1a8753efda0be53a,NFLX.csv,,managing_s3_and_athena\NFLX.csv,235,0
46,158dd8ac5e50ab9d28f34a9f1a8753efda0be53a,TSLA.csv,,managing_s3_and_athena\TSLA.csv,235,0
47,8d0207e0d089c227da8655cdb4e2d759c7ff6929,Untitled-checkpoint.ipynb,,starting_with_kangas\.ipynb_checkpoints\Untitled-checkpoint.ipynb,6,0
48,8d0207e0d089c227da8655cdb4e2d759c7ff6929,Untitled.ipynb,,starting_with_kangas\Untitled.ipynb,96,0
49,6b84989724c500384dc5f2e65694bd8962eb1f98,constructing_datagrids.ipynb,,starting_with_kangas\constructing_datagrids.ipynb,237,0
50,ec42355bd021646876d77daec6b24e5aede8db81,constructing_datagrids.ipynb,starting_with_kangas\constructing_datagrids.ipynb,starting_with_kangas\constructing_datagrids.ipynb,285,25
51,d870a44ff875d7ba94ce14ff1fa423b1e344e3e1,object_detection.ipynb,,starting_with_kangas\object_detection.ipynb,1985,0
52,c52c60d8167e9032f017b0043d6858ccab1799a3,analyzing_datagrids_with_kangas.ipynb,,starting_with_kangas\analyzing_datagrids_with_kangas.ipynb,2271,0
53,db7d6875400c379f8052b37279c671bff56fd16e,text_classification.ipynb,,nlp\text_classification.ipynb,318,0
54,f912cec020d68c9c4ae4f7b7853cd50fd5cf9b48,tokenization.ipynb,,nlp\tokenization.ipynb,184,0
55,c03814ce04249a835865006e3c041c996e6fc2f1,tokenization.ipynb,nlp\tokenization.ipynb,nlp\tokenization.ipynb,31,3
